,id,name,neighbourhood,room_type,price
189,2336430,innspirit -- Standard double room,Yau Tsim Mong,Private room,400.0
190,2342794,Town Centre Mong Kok Mtr railway 4 beds+2 bath rms,Yau Tsim Mong,Entire home/apt,1500.0
191,2393133,"Hong Kong University, MTR station 5 min walk away",Central & Western,Entire home/apt,1100.0
192,2401768,Suite 905 @ Hennessy Road 1-3 Guest,Wan Chai,Private room,691.0
193,2413558,ROOM IN North Point,Eastern,Private room,150.0
194,2432234,Happy Valley garden apartment -50m from Sanitorium,Wan Chai,Entire home/apt,1800.0
195,2442588,20% off Penthouse Cozy large bed (5min to subway),Central & Western,Entire home/apt,1200.0
196,2458782,Cozy Double Rm 4 next to Jordan MTR,Yau Tsim Mong,Private room,354.0
197,2462199,innspirit-2 rooms - 5 guests in TST,Yau Tsim Mong,Entire home/apt,1100.0
198,2472517,2 BR Apt w/ Abundant Daylight.,Yau Tsim Mong,Entire home/apt,634.0
199,2484757,"$0 renting.On floor n blanket, clear,wifi, hot wat",Wong Tai Sin,Shared room,80.0
200,2524352,yau ma tei 3 beds,Yau Tsim Mong,Entire home/apt,3266.0
201,2527002,Flat Share in Sham Shui Po,Wong Tai Sin,Private room,167.0
202,2532565,銅鑼灣羅馬假日賓館,Wan Chai,Private room,250.0
203,2543939,"Convenient,Cosy 2 BR Apt in Wanchai",Wan Chai,Entire home/apt,875.0
204,2551147,Very Nice Room ... WanChai,Wan Chai,Private room,200.0
205,2553749,Clean well located apartment in Kennedy Town,Central & Western,Entire home/apt,3000.0
206,2566050,1BR for 2ppl 3mins to MongKok MTR,Yau Tsim Mong,Entire home/apt,264.0
207,2601487,Nice Causeway bay studio,Wan Chai,Private room,317.0
208,2602519,D:2BR for 6ppl 3mins to MongKok MTR,Yau Tsim Mong,Entire home/apt,499.0
209,2604464,"尖沙咀洋楼1房1廳有厨房送wifi,近西九海濱長廊及伊利沙伯医院",Yau Tsim Mong,Entire home/apt,699.0
210,2604819,3BR for 8ppl 3mins to MongKok MTR,Yau Tsim Mong,Entire home/apt,1014.0
211,2612849,B:2BR for 6ppl 3mins to MongKok MTR,Yau Tsim Mong,Entire home/apt,299.0
212,2638755,Garden Hotel-Double/Twin bed room (Mong Kok),Yau Tsim Mong,Private room,327.0
213,2646158,Prince Edward nice room,Wan Chai,Private room,167.0
214,2648857,New 2BRS Mong Kok MTR Fit 6ppl,Yau Tsim Mong,Entire home/apt,1688.0
215,2653430,flatshare Causeway Bay,Wan Chai,Private room,167.0
216,2653478,Nice presented room in causeway bay(c2d),Wan Chai,Private room,150.0
217,2667253,Cheung Chau Guesthouse - Room for 2 (Y/R),Islands,Private room,894.0
218,2688143,Stylish Studio Apartment Near Causeway Bay [2],Eastern,Entire home/apt,921.0
219,2697004,ColorZ - Room A (Double Room),Yau Tsim Mong,Private room,500.0
220,2703648,ColorZ - Room F (Single Room),Yau Tsim Mong,Private room,400.0
221,2703656,ColorZ - Room G (Single Room),Yau Tsim Mong,Private room,399.0
222,2724710,"3BDR,3-8ppl, 2 min Causeway Bay MTR",Wan Chai,Entire home/apt,1680.0
223,2731856,HK Centre with breakfast/dinner!!!!,Wan Chai,Private room,680.0
224,2749902,"Great location, close to metro",Wan Chai,Entire home/apt,1938.0
225,2757546,bedroom en-suite/roof top/spacious,Wan Chai,Private room,500.0
226,2765939,innspirit - Full size double room,Yau Tsim Mong,Private room,480.0
227,2766273,innspirit - Twin room (bunk bed),Yau Tsim Mong,Private room,450.0
228,2794976,"2 rooms 1 hall, 30's YMT MTR",Yau Tsim Mong,Entire home/apt,479.0
229,2821355,sun hing hotel 3,Yau Tsim Mong,Private room,679.0
230,2834148,This newly renovated APT 1,Yau Tsim Mong,Entire home/apt,2285.0
231,2856944,Luxury Penthouse w/ Panoramic view in Hong Kong,Central & Western,Entire home/apt,3200.0
232,2858857,"Luxurious Rural Retreat, Lantau",Islands,Private room,724.0
233,2868081,Visitor monthly rent 月租單位,Eastern,Private room,700.0
234,2881042,Tsim Sha Tsui MTR Double Rm with private washroom,Yau Tsim Mong,Private room,825.0
235,2881064,Tsim Sha Tsui Nice and cozy small double ensuite,Yau Tsim Mong,Private room,682.0
236,2909327,CWB Beautiful Studio w/ NEW renos *2B,Wan Chai,Entire home/apt,252.0
237,2939697,"Nice Flatshare, Sheung Wan",Central & Western,Private room,217.0
238,2970176,CWB Clean & Modern Reno in HEART of HK *2C,Wan Chai,Entire home/apt,333.0
239,2970536,CWB Roomy & Newly Reno'd Studio *2A,Wan Chai,Entire home/apt,442.0
240,2974252,Cheung Chau Guesthouse - Room for 4,Islands,Private room,1566.0
241,2989687,Room w/ROOFTOP in Yau Ma Tei,Yau Tsim Mong,Private room,200.0
242,2989858,Small room available  near HKU,Central & Western,Private room,145.0
243,2989907,Super Convenient Room in Central,Central & Western,Private room,234.0
244,2990012,Nice flatshare in Midlevel central,Central & Western,Private room,267.0
245,2993826,旺角花園街 地鐵站付近,Yau Tsim Mong,Entire home/apt,972.0
246,2993849,旺角兩房一廳 鄰近地鐵站,Yau Tsim Mong,Entire home/apt,972.0
247,2993971,"旺角地鐵站附近 ,三張上下床， 無線WIFI, 鄰近購物中心",Yau Tsim Mong,Entire home/apt,1189.0
248,2998851,Single Room at Tsim Sha Tsui,Yau Tsim Mong,Private room,250.0
249,2998876,Double Room with Balcony,Yau Tsim Mong,Private room,671.0
250,2998886,Twin room at Tsim Sha Tsui,Yau Tsim Mong,Private room,880.0
251,2999248,Share flat in Sheung Wan,Central & Western,Private room,200.0
252,2999296,Room in Share flat in Sheung Wan,Central & Western,Private room,300.0
253,2999332,Nice Flatshare in Wan Chai,Wan Chai,Private room,193.0
254,2999376,Best Place to Stay in HK~Quarry bay(q1g),Eastern,Private room,280.0
255,2999430,Room in Tin Hau,Wan Chai,Private room,158.0
256,3002319,Sai Ying Pun MTR 1 min walk withrooftop terrace 63,Central & Western,Entire home/apt,760.0
257,3021624,Wanchai cozy 3BR+2Bath for 5 (Heart of HK),Wan Chai,Entire home/apt,1350.0
